date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:21:49	318/318	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Aug%202020%2009:21:49%20GMT	http://localhost/abramba	C:/My%20Web%20Sites/Abramba1/localhost/abramba.0.delayed	(from )
12:21:49	293/293	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Aug%202020%2009:21:49%20GMT	http://localhost/robots.txt		(from )
12:22:04	70306/70306	---MC-	200	added ('OK')	text/html	date:Tue,%2025%20Aug%202020%2009:21:49%20GMT	http://localhost/abramba/	C:/My%20Web%20Sites/Abramba1/localhost/abramba/index.html	(from )
12:22:04	59528/59528	---M--	200	added ('OK')	text/css	etag:%22e888-5ad0a28612df2%22	http://localhost/abramba/wp-content/plugins/formidable/css/formidableforms.css?ver=8122330	C:/My%20Web%20Sites/Abramba1/localhost/abramba/wp-content/plugins/formidable/css/formidableformsdee1.css	(from http://localhost/abramba/)
12:22:07	87561/87561	---M--	200	added ('OK')	text/css	etag:%2215609-5ad0a37e686ec%22	http://localhost/abramba/wp-content/themes/astra/assets/css/minified/style.min.css?ver=2.5.4	C:/My%20Web%20Sites/Abramba1/localhost/abramba/wp-content/themes/astra/assets/css/minified/style.min21bb.css	(from http://localhost/abramba/)
12:22:09	2409/2409	---M--	200	added ('OK')	application/rss+xml	etag:%227f010ecb1c88a265fbff0b0dd2ca8d64%22	http://localhost/abramba/comments/feed/	C:/My%20Web%20Sites/Abramba1/localhost/abramba/comments/feed/index.html	(from http://localhost/abramba/)
12:22:09	3304/3304	---M--	200	added ('OK')	font/woff	etag:%22ce8-5ad0a37f5c546%22	http://localhost/abramba/wp-content/themes/astra/assets/fonts/astra.woff	C:/My%20Web%20Sites/Abramba1/localhost/abramba/wp-content/themes/astra/assets/fonts/astra.woff	(from http://localhost/abramba/)
12:22:10	3412/3412	---M--	200	added ('OK')	text/css	etag:%22d54-5ad0a37e53318%22	http://localhost/abramba/wp-content/themes/astra/assets/css/minified/menu-animation.min.css?ver=2.5.4	C:/My%20Web%20Sites/Abramba1/localhost/abramba/wp-content/themes/astra/assets/css/minified/menu-animation.min21bb.css	(from http://localhost/abramba/)
12:22:11	17709/17709	---MC-	200	added ('OK')	application/rss+xml	etag:%22480f1c9d0805e79f41eb7b3ea977d12d%22	http://localhost/abramba/feed/	C:/My%20Web%20Sites/Abramba1/localhost/abramba/feed/index.html	(from http://localhost/abramba/)
12:22:11	53923/53923	---M--	200	added ('OK')	text/css	etag:%22d2a3-5a9db041573c0%22	http://localhost/abramba/wp-includes/css/dist/block-library/style.min.css?ver=5.5	C:/My%20Web%20Sites/Abramba1/localhost/abramba/wp-includes/css/dist/block-library/style.min5156.css	(from http://localhost/abramba/)
12:22:13	1920/1920	---M--	200	added ('OK')	text/css	etag:%22780-5ad0a1f9d1490%22	http://localhost/abramba/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.2.1	C:/My%20Web%20Sites/Abramba1/localhost/abramba/wp-content/plugins/contact-form-7/includes/css/styles7752.css	(from http://localhost/abramba/)
12:22:13	931/931	---M--	200	added ('OK')	text/css	etag:%223a3-5ad0a37d4311c%22	http://localhost/abramba/wp-content/themes/astra/assets/css/minified/compatibility/contact-form-7.min.css?ver=2.5.4	C:/My%20Web%20Sites/Abramba1/localhost/abramba/wp-content/themes/astra/assets/css/minified/compatibility/contact-form-7.min21bb.css	(from http://localhost/abramba/)
12:22:13	5153/5153	---M--	200	added ('OK')	text/css	etag:%221421-5ad0a2167d99c%22	http://localhost/abramba/wp-content/plugins/ditty-news-ticker/inc/static/libs/fontastic/styles.css?ver=2.2.17	C:/My%20Web%20Sites/Abramba1/localhost/abramba/wp-content/plugins/ditty-news-ticker/inc/static/libs/fontastic/styles2bc7.css	(from http://localhost/abramba/)
12:22:13	9787/9787	---M--	200	added ('OK')	text/css	etag:%22263b-5ad0a1fff6c68%22	http://localhost/abramba/wp-content/plugins/ditty-news-ticker/inc/static/css/style.css?ver=1597633881	C:/My%20Web%20Sites/Abramba1/localhost/abramba/wp-content/plugins/ditty-news-ticker/inc/static/css/style3a04.css	(from http://localhost/abramba/)
12:22:13	2047/2047	---M--	200	added ('OK')	text/css	etag:%227ff-5ad0a2ec63b60%22	http://localhost/abramba/wp-content/plugins/templately/assets/css/editor.css?ver=1.1.2	C:/My%20Web%20Sites/Abramba1/localhost/abramba/wp-content/plugins/templately/assets/css/editorcfa9.css	(from http://localhost/abramba/)
12:22:14	3649/3649	---M--	200	added ('OK')	text/css	etag:%22e41-5adb03c05e19a%22	http://localhost/abramba/wp-content/uploads/essential-addons-elementor/cb70d11b8.min.css?ver=1598347316	C:/My%20Web%20Sites/Abramba1/localhost/abramba/wp-content/uploads/essential-addons-elementor/cb70d11b8.minc95c.css	(from http://localhost/abramba/)
12:22:14	776/776	---M--	200	added ('OK')	text/css	etag:%22308-5ad0a28ac5632%22	http://localhost/abramba/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.5.3	C:/My%20Web%20Sites/Abramba1/localhost/abramba/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementore225.css	(from http://localhost/abramba/)
12:22:14	16209/16209	---M--	200	added ('OK')	text/css	etag:%223f51-5ad0a2343fb78%22	http://localhost/abramba/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.7.0	C:/My%20Web%20Sites/Abramba1/localhost/abramba/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min87e8.css	(from http://localhost/abramba/)
12:22:14	18468/18468	---M--	200	added ('OK')	text/css	etag:%224824-5ad0a2335d672%22	http://localhost/abramba/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=2.9.14	C:/My%20Web%20Sites/Abramba1/localhost/abramba/wp-content/plugins/elementor/assets/lib/animations/animations.min7c53.css	(from http://localhost/abramba/)
12:22:15	108733/108733	---M--	200	added ('OK')	text/css	etag:%221a8bd-5ad0a22ed985b%22	http://localhost/abramba/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=2.9.14	C:/My%20Web%20Sites/Abramba1/localhost/abramba/wp-content/plugins/elementor/assets/css/frontend.min7c53.css	(from http://localhost/abramba/)
12:22:16	57180/57180	---M--	200	added ('OK')	text/css	etag:%22df5c-5ad0a234abd08%22	http://localhost/abramba/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=1598347313	C:/My%20Web%20Sites/Abramba1/localhost/abramba/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.minab7b.css	(from http://localhost/abramba/)
